"","date","session","location","room","time","title","link"
"11","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","2:10PM","Pacific Islands Region Newsroom","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/39254"
"12","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","2:30PM","Sunday School: Systems-Literacy Success through Short, Teacher-Led Family Field Trips","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/38253"
"13","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","2:50PM","Refreshment Break",""
"14","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","3:20PM","When “the Blob” Attacks: Conveying Ecosystem Science through Real-Time News","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/39230"
"15","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","3:40PM","Give ‘Em What They Want: Repackaging Science into Content People Want to Consume","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/40025"
"16","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","4:00PM","Communicating Real-World Research to Students","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/38490"
"17","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","4:20PM","From Paper to the Cloud – Tools and Methods for Communicating with a Diverse Audience","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/39455"
"18","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","4:40PM","Grab the Popcorn, It’s Show Time!","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/39035"
"19","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","5:00PM","Concluding Remarks","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/40816"
"20","September 30, 2019","Juvenile Salmon Ecology and Management (hosted by AFS)","RSCC"," A5","8:00AM","Longitudinal Patterns of Logjams and Occupancy By Juvenile Chinook Salmon Along a Sub-Arctic Boreal Riverscape","https://afstws2019.org/sessions/juvenile-salmon-ecology-and-management/40175"
"21","September 30, 2019","Juvenile Salmon Ecology and Management (hosted by AFS)","RSCC"," A5","8:20AM","Juvenile Chinook Salmon (Oncorhynchus tshawytscha) Movement, Overwinter Survival, and Outmigration Timing in the Chena River, Alaska","https://afstws2019.org/sessions/juvenile-salmon-ecology-and-management/39606"
"22","September 30, 2019","Juvenile Salmon Ecology and Management (hosted by AFS)","RSCC"," A5","8:40AM","Identifying Juvenile Chinook Salmon (Oncorhynchus tshawytscha) Overwintering Locations in the Tanana Flats (Alaska, USA)","https://afstws2019.org/sessions/juvenile-salmon-ecology-and-management/36025"
"23","September 30, 2019","Juvenile Salmon Ecology and Management (hosted by AFS)","RSCC"," A5","9:00AM","Food Deprivation Records in Juvenile Salmon Otoliths","https://afstws2019.org/sessions/juvenile-salmon-ecology-and-management/38434"
"24","September 30, 2019","Juvenile Salmon Ecology and Management (hosted by AFS)","RSCC"," A5","9:20AM","Invasive Competition and Predation: An Ecological Perspective on Threats to Juvenile Chinook Salmon","https://afstws2019.org/sessions/juvenile-salmon-ecology-and-management/36721"
"25","September 30, 2019","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","RSCC"," A18","8:00AM","Overcoming Challenges in Salmon and Steelhead Monitoring Using Applied Technologies","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/38651"
"26","September 30, 2019","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","RSCC"," A18","8:20AM","Split-Beam and Imaging Sonar Used to Enumerate Migratory Fish Passage in Large, Turbid Rivers of the Alaskan Arctic–Yukon–Kuskokwim (AYK) Region","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/38935"
"27","September 30, 2019","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","RSCC"," A18","8:40AM","Estimating Atlantic Salmon (Salmo salar) Population Size in a Multispecies River Using Adaptive Resolution Imaging Sonars (ARIS) and Underwater Cameras.","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/38551"
"28","September 30, 2019","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","RSCC"," A18","9:00AM","Use of Subsampling Techniques to Improve the Precision, Accuracy, and Efficiency of Imaging Sonar Results","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/40308"
"29","September 30, 2019","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","RSCC"," A18","9:20AM","Use of Low-Cost, Autonomous, Underwater Camera Systems to Advance Understanding of Fish Habitat Usage and Behavior","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/40255"
"30","September 30, 2019","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","RSCC"," A18","09:40AM","Break",""
"31","September 30, 2019","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","RSCC"," A18","1:10PM","Using Environmental DNA to Detect the Invasive New Zealand Mud Snail (Potamopyrgus antipodarum) in Freshwaters","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/38989"
"32","September 30, 2019","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","RSCC"," A18","1:30PM","Adaptation of Technology: A Glimpse into the Future of Aquatic Environmental DNA Monitoring in the Sacramento-San Joaquin Delta.","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/39919"
"33","September 30, 2019","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","RSCC"," A18","1:50PM","Using Wagon-Wheel Antennas to Pioneer the West: How New PIT Detection Technology Has Expanded Our Knowledge on Imperiled Fish Conservation and Management","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/38908"
"34","September 30, 2019","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","RSCC"," A18","2:10PM","Wells Dam Juvenile Bypass Baffle PIT Detection System","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/38514"
"35","September 30, 2019","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","RSCC"," A18","2:30PM","The Aquatic Habitat Sampling Platform: A Non-Traditional Look at Traditional Estuary Questions","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/39996"
"36","September 30, 2019","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","RSCC"," A18","2:50PM","Refreshment Break",""
"37","September 30, 2019","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","RSCC"," A18","3:20PM","The Use of Carbon Dioxide to Remove Resident Piscivorous Striped Bass (Morone saxatilis) from the Tracy Fish Collection Facility in the Sacramento-San Joaquin River Delta, California","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/38377"
"38","September 30, 2019","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","RSCC"," A18","3:40PM","Assessing the Use of Predation-Detection Acoustic Transmitters to Examine Predation Loss of Juvenile Chinook Salmon","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/39387"
"39","September 30, 2019","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","RSCC"," A18","4:00PM","Paired Satellite and Acoustic Tagging to Monitor the Movements of Bigheaded Carp in the Upper Illinois River","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/40583"
"40","September 30, 2019","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","RSCC"," A18","4:20PM","Evaluation of the Juvenile Salmonid Acoustic Telemetry System (JSATS) Detection Range and Efficiency in Saltwater Estuarine Environments","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/40286"
"41","September 30, 2019","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Atlantis"," Grand Ballroom 7","8:00AM","Applying UI/UX Methods to Recruit and Retain Anglers. A Case Study of Angler’s Atlas Website and MyCatch Mobile App.","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/40793"
"42","September 30, 2019","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Atlantis"," Grand Ballroom 7","8:20AM","Interactive User Interfaces: Building Models, Building Partnerships","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/38577"
"43","September 30, 2019","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Atlantis"," Grand Ballroom 7","8:40AM","Interactive Data Visualization Tools for Enhanced Communication with Stakeholders","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/38612"
"44","September 30, 2019","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Atlantis"," Grand Ballroom 7","9:00AM","Customized Applications to Streamline Workflow for Wildlife and Fisheries Management","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/38708"
"45","September 30, 2019","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Atlantis"," Grand Ballroom 7","9:20AM","Enhancing Reproducibility in Fisheries Science with Interactive User Interfaces","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/40005"
"46","September 30, 2019","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Atlantis"," Grand Ballroom 7","09:40AM","Break",""
"47","September 30, 2019","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Atlantis"," Grand Ballroom 7","1:10PM","Dynamic Rshiny Applications to Support Gulf of Mexico Land Conservation","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/38980"
"48","September 30, 2019","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Atlantis"," Grand Ballroom 7","1:30PM","An Interactive User Interface for Mapping and Prioritizing Migration Corridors","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/39277"
"49","September 30, 2019","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Atlantis"," Grand Ballroom 7","1:50PM","A Decision-Making Tool for Evaluating Biological and Statistical Thresholds for Survival Analysis of Migrating Fishes","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/39878"
"50","September 30, 2019","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Atlantis"," Grand Ballroom 7","2:10PM","R Shiny As a Platform for Interactive and Dynamic in-Season Information on Fraser River Sockeye Salmon","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/39910"
"51","September 30, 2019","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Atlantis"," Grand Ballroom 7","2:30PM","Utilization of Web Applications in a Salmon and Steelhead Monitoring and Recovery Program","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/38799"
"52","September 30, 2019","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Atlantis"," Grand Ballroom 7","2:50PM","Refreshment Break",""
"53","September 30, 2019","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Atlantis"," Grand Ballroom 7","3:20PM","A Stakeholder Engagement Tool to Explore Recreational Management Strategies for Red Snapper in the Gulf of Mexico.","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/40118"
"54","September 30, 2019","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Atlantis"," Grand Ballroom 7","3:40PM","Interactive Data Exploration of Smolt to Adult Return Rate (SAR) Timeseries for Salmonids in the Interior Columbia River Basin","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/40538"
"55","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","8:00AM","Environmental Impact Assessment for Hydropower Regulation","https://afstws2019.org/sessions/environmental-impact-assessment-for-hydropower-regulation/40270"
"56","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","8:20AM","Effectiveness of Fine-Spaced Low-Sloping Racks to Protect Atlantic Salmon Smolts at Four Hydropowerplants in South-Western France","https://afstws2019.org/sessions/environmental-impact-assessment-for-hydropower-regulation/38328"
"57","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","8:40AM","Predicting Distribution of Fish Guilds in Gabon’s Ogooué River","https://afstws2019.org/sessions/environmental-impact-assessment-for-hydropower-regulation/36626"
"58","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","9:00AM","LIFE4FISH Project: Downstream Fish Migratiion Alont the Low Meuse River","https://afstws2019.org/sessions/environmental-impact-assessment-for-hydropower-regulation/39052"
"59","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","9:20AM","Quantifying Responses of Morphologically Distinct Riverine Fishes Exposed to Simulated Turbine Blade Strike to Better Inform Design of Safer Hydropower Turbines","https://afstws2019.org/sessions/environmental-impact-assessment-for-hydropower-regulation/40218"
"60","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","09:40AM","Break",""
"61","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","1:10PM","Adaptive Management of Hydropower to Facilitate Downstream Migration of Atlantic Salmon Smolts: The Case of Poutès Dam on the Allier River (France)","https://afstws2019.org/sessions/environmental-impact-assessment-for-hydropower-regulation/38874"
"62","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","1:30PM","Total Dissolved Gas and Gas Bubble Disease in the Lower Clark Fork River: What Have We Learned in the Last 20 Years?","https://afstws2019.org/sessions/environmental-impact-assessment-for-hydropower-regulation/36057"
"63","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","1:50PM","Modeling to Evaluate the Effects of Missouri River Hydrosystem Operations on Piping Plovers and Least Terns","https://afstws2019.org/sessions/environmental-impact-assessment-for-hydropower-regulation/40332"
"64","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","2:10PM","Agent-Based Modeling to Design Wildlife-Friendly Renewable Energy Projects","https://afstws2019.org/sessions/environmental-impact-assessment-for-hydropower-regulation/40357"
"65","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","2:30PM","Kootenai River Floodplain Ecosystem Operational Loss Assessment","https://afstws2019.org/sessions/environmental-impact-assessment-for-hydropower-regulation/39964"
"66","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","2:50PM","Refreshment Break",""
"67","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","3:20PM","Managing Hydropower Dam Releases for Water Users and Imperiled Cold- and Warm-Water Fishes","https://afstws2019.org/sessions/environmental-impact-assessment-for-hydropower-regulation/35669"
"68","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","3:40PM","Science in Action or Science Inaction: The Use of Best Available Science in the Ferc Hydropower Relicensing Process","https://afstws2019.org/sessions/environmental-impact-assessment-for-hydropower-regulation/39866"
"69","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","4:00PM","Understanding the Environmental Impact Study and Mitigation Life Cycle in Federal Energy Regulatory Commission Hydropower Licenses","https://afstws2019.org/sessions/environmental-impact-assessment-for-hydropower-regulation/40258"
"70","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","4:20PM","An Evidence-Based Decision-Support Tool to Guide Hydropower Environmental Impact Assessments","https://afstws2019.org/sessions/environmental-impact-assessment-for-hydropower-regulation/39917"
"71","September 30, 2019","Environmental Impact Assessment for Hydropower Regulation (hosted by AFS)","RSCC"," A12","4:40PM","Logistic Growth Curve Modeling of US Hydropower Energy Production for Environmental Impact Modeling and Policy Analysis","https://afstws2019.org/sessions/environmental-impact-assessment-for-hydropower-regulation/39074"
"72","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","8:00AM","Improving Communication and Collaboration in Fisheries Conservation through Increasing Transparency of the Process and the Science","https://afstws2019.org/sessions/casting-a-wider-net-increasing-stakeholder-communication-and-collaboration-as-an-early-career-scientist/39716"
"73","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","8:20AM","More Than a Tradition: The Importance of Understanding the Perspectives and Baselines of Indigenous Nations with Respect to Modern Natural Resource Challenges.","https://afstws2019.org/sessions/casting-a-wider-net-increasing-stakeholder-communication-and-collaboration-as-an-early-career-scientist/38545"
"74","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","8:40AM","Advocacy, Breweries, and Collaborative Science: The ABCs of Successful Stakeholder Engagement","https://afstws2019.org/sessions/casting-a-wider-net-increasing-stakeholder-communication-and-collaboration-as-an-early-career-scientist/36480"
"75","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","9:00AM","#Fishmas Time Is Here: Using Social Media for Stakeholder Engagement As an Early Career Scientist","https://afstws2019.org/sessions/casting-a-wider-net-increasing-stakeholder-communication-and-collaboration-as-an-early-career-scientist/40019"
"76","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","9:20AM","Combining Traditional Farming with Modern Science","https://afstws2019.org/sessions/casting-a-wider-net-increasing-stakeholder-communication-and-collaboration-as-an-early-career-scientist/39214"
"77","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","09:40AM","Break",""
"78","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","1:10PM","From Hostile to Helpful: A Success Story of Stakeholder Collaboration","https://afstws2019.org/sessions/casting-a-wider-net-increasing-stakeholder-communication-and-collaboration-as-an-early-career-scientist/38593"
"79","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","1:30PM","Communication and Collaboration within the Atlantic Salmon Governance Structure of Maine","https://afstws2019.org/sessions/casting-a-wider-net-increasing-stakeholder-communication-and-collaboration-as-an-early-career-scientist/38461"
"80","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","1:50PM","A Strategic Plan for Monitoring Birds in the Gulf of Mexico: Translating Stakeholder Values into Priorities","https://afstws2019.org/sessions/casting-a-wider-net-increasing-stakeholder-communication-and-collaboration-as-an-early-career-scientist/38484"
"81","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","2:10PM","Evaluating and Improving Lake Management at Broad Scales: The Payoffs of Stakeholder Collaboration in Research","https://afstws2019.org/sessions/casting-a-wider-net-increasing-stakeholder-communication-and-collaboration-as-an-early-career-scientist/39111"
"82","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","2:30PM","Making Science Useful to Stakeholders in the Context of Tidal Power Development","https://afstws2019.org/sessions/casting-a-wider-net-increasing-stakeholder-communication-and-collaboration-as-an-early-career-scientist/40055"
"83","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","2:50PM","Refreshment Break",""
"84","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","3:20PM","Integrating Stakeholder Engagement into Project Design: The Lenfest Approach","https://afstws2019.org/sessions/casting-a-wider-net-increasing-stakeholder-communication-and-collaboration-as-an-early-career-scientist/39709"
"85","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","3:40PM","The Human Dimensions Revolution for Florida Fish and Wildlife","https://afstws2019.org/sessions/casting-a-wider-net-increasing-stakeholder-communication-and-collaboration-as-an-early-career-scientist/38939"
"86","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","4:00PM","Engaging Governmental and Private Stakeholders to Implement and Maintain Adaptive Management Projects – Challenges and Accomplishments","https://afstws2019.org/sessions/casting-a-wider-net-increasing-stakeholder-communication-and-collaboration-as-an-early-career-scientist/40079"
"87","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","4:20PM","Guides Guiding Graduate Research","https://afstws2019.org/sessions/casting-a-wider-net-increasing-stakeholder-communication-and-collaboration-as-an-early-career-scientist/39814"
"88","September 30, 2019","Casting a Wider Net: Increasing Stakeholder Communication and Collaboration as an Early Career Scientist","RSCC"," A17","4:40PM","Engaging Undergraduates: Introducing Students to Working with Private Entities","https://afstws2019.org/sessions/casting-a-wider-net-increasing-stakeholder-communication-and-collaboration-as-an-early-career-scientist/40245"
"89","September 30, 2019","Synergies in Harvest Management for Fishing and Hunting","RSCC"," A6","8:00AM","Welcoming Remarks","https://afstws2019.org/sessions/synergies-in-harvest-management-for-fishing-and-hunting/37657"
"90","September 30, 2019","Synergies in Harvest Management for Fishing and Hunting","RSCC"," A6","8:20AM","The Social and Political Context of Harvest Management","https://afstws2019.org/sessions/synergies-in-harvest-management-for-fishing-and-hunting/38769"
"91","September 30, 2019","Synergies in Harvest Management for Fishing and Hunting","RSCC"," A6","8:40AM","A Decision Analytical Framework for Developing Harvest Regulations","https://afstws2019.org/sessions/synergies-in-harvest-management-for-fishing-and-hunting/38862"
"92","September 30, 2019","Synergies in Harvest Management for Fishing and Hunting","RSCC"," A6","9:00AM","Choosing an Optimal Duck Season: Integrating Hunter Values with Duck Migration Data","https://afstws2019.org/sessions/synergies-in-harvest-management-for-fishing-and-hunting/38857"
"93","September 30, 2019","Synergies in Harvest Management for Fishing and Hunting","RSCC"," A6","9:20AM","Using Structured Decision Making to Incorporate Ecological and Social Values into Harvest Decisions: Case Studies of Walleye, Deer, and Turkey","https://afstws2019.org/sessions/synergies-in-harvest-management-for-fishing-and-hunting/38329"
"94","September 30, 2019","Synergies in Harvest Management for Fishing and Hunting","RSCC"," A6","09:40AM","Break",""
"95","September 30, 2019","Synergies in Harvest Management for Fishing and Hunting","RSCC"," A6","1:10PM","Structured Decision Making Provides Insight When Selecting a Preferred Population Monitoring Program","https://afstws2019.org/sessions/synergies-in-harvest-management-for-fishing-and-hunting/38755"
"96","September 30, 2019","Synergies in Harvest Management for Fishing and Hunting","RSCC"," A6","1:30PM","Effects of Regulations and Pricing on Participation in Recreational Fishing","https://afstws2019.org/sessions/synergies-in-harvest-management-for-fishing-and-hunting/38594"
"97","September 30, 2019","Synergies in Harvest Management for Fishing and Hunting","RSCC"," A6","1:50PM","Effects of Wildlife Density on Hunter Satisfaction","https://afstws2019.org/sessions/synergies-in-harvest-management-for-fishing-and-hunting/40720"
"98","September 30, 2019","Synergies in Harvest Management for Fishing and Hunting","RSCC"," A6","2:10PM","Non-Linear Responses of Angler Harvest Rates and Size Selectivity to Shifts in Population Abundance, Size Structure, and Regulations","https://afstws2019.org/sessions/synergies-in-harvest-management-for-fishing-and-hunting/37018"
"99","September 30, 2019","Synergies in Harvest Management for Fishing and Hunting","RSCC"," A6","2:30PM","Harvest Regulations Can Affect the Evolutionary Impacts of Harvests on Fish and Wildlife.","https://afstws2019.org/sessions/synergies-in-harvest-management-for-fishing-and-hunting/38387"
